FID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,id,lat,long,date,value,unit,code,site_name,year,month,day,time,sample_cat,form,state,entity,sample_typ,media,processing,source,official_n,IP_ID,Name,Use,Notes,Multiple
0,1,0,1,0,08FB004,52.3996,-126.5381,10/5/16 0:00,3.01,mg/l, ,Salloomt Rv.,2016,10,5, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,5259,Bella Coola River,O, , 
1,1,1,1,1,08FB006,52.369953,-126.073132,10/5/16 0:00,3.27,mg/l, ,Atnarko Rv.,2016,10,5, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,5259,Bella Coola River,O, , 
2,1,2,1,2,08FB011,52.432,-126.388,10/4/16 0:00,2.45,mg/l, ,Bella Coola Rv. Near Hammer Rd.,2016,10,4, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,5259,Bella Coola River,O, , 
3,1,3,1,3,08GA022,49.79563333,-123.2013611,1/13/17 0:00,1.13,mg/l, ,Squamish Rv.,2017,1,13, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,183,Squamish River,M,"Main river, but above confluence with another",Yes
4,1,4,1,4,08GA022,49.79563333,-123.2013611,1/21/17 0:00,1.57,mg/l, ,Squamish Rv.,2017,1,21, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,183,Squamish River,M,"Main river, but above confluence with another",Yes
5,1,5,1,5,08GA022,49.79563333,-123.2013611,10/5/16 0:00,1.64,mg/l, ,Squamish Rv.,2016,10,5, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,183,Squamish River,M,"Main river, but above confluence with another",Yes
6,1,6,1,6,08GA022,49.79563333,-123.2013611,1/29/17 0:00,1.76,mg/l, ,Squamish Rv.,2017,1,29, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,183,Squamish River,M,"Main river, but above confluence with another",Yes
7,1,7,1,7,08GA022,49.79563333,-123.2013611,2/12/17 0:00,2.74,mg/l, ,Squamish Rv.,2017,2,12, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,183,Squamish River,M,"Main river, but above confluence with another",Yes
8,1,8,1,8,08GA022,49.79563333,-123.2013611,11/12/16 0:00,2.79,mg/l, ,Squamish Rv.,2016,11,12, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,183,Squamish River,M,"Main river, but above confluence with another",Yes
9,1,9,1,9,08GA022,49.79563333,-123.2013611,11/26/16 0:00,5.39,mg/l, ,Squamish Rv.,2016,11,26, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,183,Squamish River,M,"Main river, but above confluence with another",Yes
10,1,10,1,10,08GA043,49.79967778,-123.1574,1/13/17 0:00,1.55,mg/l, ,Cheakamus Rv.,2017,1,13, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,183,Squamish River,M,Large trib that joins near outlet,Yes
11,1,11,1,11,08GA043,49.79967778,-123.1574,1/29/17 0:00,1.58,mg/l, ,Cheakamus Rv.,2017,1,29, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,183,Squamish River,M,Large trib that joins near outlet,Yes
12,1,12,1,12,08GA043,49.79967778,-123.1574,1/21/17 0:00,2.08,mg/l, ,Cheakamus Rv.,2017,1,21, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,183,Squamish River,M,Large trib that joins near outlet,Yes
13,1,13,1,13,08GA043,49.79967778,-123.1574,2/12/17 0:00,2.22,mg/l, ,Cheakamus Rv.,2017,2,12, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,183,Squamish River,M,Large trib that joins near outlet,Yes
14,1,14,1,14,08GA043,49.79967778,-123.1574,11/12/16 0:00,2.86,mg/l, ,Cheakamus Rv.,2016,11,12, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,183,Squamish River,M,Large trib that joins near outlet,Yes
15,1,15,1,15,08GA043,49.79967778,-123.1574,11/25/16 0:00,5.99,mg/l, ,Cheakamus Rv.,2016,11,25, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,183,Squamish River,M,Large trib that joins near outlet,Yes
16,1,16,1,16,08GA061,49.35631667,-123.0999417,1/13/17 0:00,1.43,mg/l, ,MacKay Creek,2017,1,13, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,10,N/A,O,Too far up watershed, 
17,1,17,1,17,08GA061,49.35631667,-123.0999417,1/30/17 0:00,1.61,mg/l, ,MacKay Creek,2017,1,30, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,10,N/A,O,Too far up watershed, 
18,1,18,1,18,08GA061,49.35631667,-123.0999417,2/14/17 0:00,1.97,mg/l, ,MacKay Creek,2017,2,14, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,10,N/A,O,Too far up watershed, 
19,1,19,1,19,08GA061,49.35631667,-123.0999417,11/12/16 0:00,5.5,mg/l, ,MacKay Creek,2016,11,12, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,10,N/A,O,Too far up watershed, 
20,1,20,1,20,08GA076,49.69197778,-123.142275,1/13/17 0:00,0.92,mg/l, ,Stawamus Rv.,2017,1,13, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,182,Stawamus River,M, ,Yes
21,1,21,1,21,08GA076,49.69197778,-123.142275,2/13/17 0:00,1.63,mg/l, ,Stawamus Rv.,2017,2,13, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,182,Stawamus River,M, ,Yes
22,1,22,1,22,08GA076,49.69197778,-123.142275,1/21/17 0:00,1.76,mg/l, ,Stawamus Rv.,2017,1,21, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,182,Stawamus River,M, ,Yes
23,1,23,1,23,08GA076,49.69197778,-123.142275,1/29/17 0:00,2.42,mg/l, ,Stawamus Rv.,2017,1,29, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,182,Stawamus River,M, ,Yes
24,1,24,1,24,08GA076,49.69197778,-123.142275,11/12/16 0:00,3.23,mg/l, ,Stawamus Rv.,2016,11,12, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,182,Stawamus River,M, ,Yes
25,1,25,1,25,08GA076,49.69197778,-123.142275,11/25/16 0:00,4.31,mg/l, ,Stawamus Rv.,2016,11,25, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,182,Stawamus River,M, ,Yes
26,1,26,1,26,08HA001,48.880006,-123.705091,1/11/17 0:00,0.85,mg/l, ,Chemainus Rv.,2017,1,11, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19717,Chemainus River,M, , 
27,1,27,1,27,08HA001,48.880006,-123.705091,2/2/17 0:00,1.8,mg/l, ,Chemainus Rv.,2017,2,2, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19717,Chemainus River,M, , 
28,1,28,1,28,08HA001,48.880006,-123.705091,2/28/17 0:00,2.34,mg/l, ,Chemainus Rv.,2017,2,28, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19717,Chemainus River,M, , 
29,1,29,1,29,08HA001,48.880006,-123.705091,8/28/17 0:00,2.45,mg/l, ,Chemainus Rv.,2017,8,28, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19717,Chemainus River,M, , 
30,1,30,1,30,08HA001,48.880006,-123.705091,8/3/17 0:00,2.77,mg/l, ,Chemainus Rv.,2017,8,3, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19717,Chemainus River,M, , 
31,1,31,1,31,08HA001,48.880006,-123.705091,12/4/16 0:00,2.84,mg/l, ,Chemainus Rv.,2016,12,4, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19717,Chemainus River,M, , 
32,1,32,1,32,08HA001,48.880006,-123.705091,10/17/16 0:00,2.85,mg/l, ,Chemainus Rv.,2016,10,17, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19717,Chemainus River,M, , 
33,1,33,1,33,08HA001,48.880006,-123.705091,9/28/16 0:00,2.96,mg/l, ,Chemainus Rv.,2016,9,28, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19717,Chemainus River,M, , 
34,1,34,1,34,08HA001,48.880006,-123.705091,11/9/16 0:00,3.02,mg/l, ,Chemainus Rv.,2016,11,9, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19717,Chemainus River,M, , 
35,1,35,1,35,08HA001,48.880006,-123.705091,3/30/17 0:00,3.33,mg/l, ,Chemainus Rv.,2017,3,30, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19717,Chemainus River,M, , 
36,1,36,1,36,08HA001,48.880006,-123.705091,5/18/17 0:00,3.53,mg/l, ,Chemainus Rv.,2017,5,18, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19717,Chemainus River,M, , 
37,1,37,1,37,08HA001,48.880006,-123.705091,6/19/17 0:00,3.55,mg/l, ,Chemainus Rv.,2017,6,19, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19717,Chemainus River,M, , 
38,1,38,1,38,08HA001,48.880006,-123.705091,11/25/16 0:00,4.47,mg/l, ,Chemainus Rv.,2016,11,25, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19717,Chemainus River,M, , 
39,1,39,1,39,08HA001,48.880006,-123.705091,10/21/17 0:00,4.54,mg/l, ,Chemainus Rv.,2017,10,21, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19717,Chemainus River,M, , 
40,1,40,1,40,08HA001,48.880006,-123.705091,9/20/17 0:00,4.55,mg/l, ,Chemainus Rv.,2017,9,20, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19717,Chemainus River,M, , 
41,1,41,1,41,08HA010,48.57986,-124.334774,8/26/16 0:00,1.14,mg/l, ,San Juan Rv.,2016,8,26, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,20674,San Juan River,M,Much larger sample size at site just upstream,Yes
42,1,42,1,42,08HA011,48.773205,-123.714684,2/2/17 0:00,1.04,mg/l, ,Cowichan Rv.,2017,2,2, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19715,Cowichan River,O, , 
43,1,43,1,43,08HA011,48.773205,-123.714684,1/11/17 0:00,1.04,mg/l, ,Cowichan Rv.,2017,1,11, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19715,Cowichan River,O, , 
44,1,44,1,44,08HA011,48.773205,-123.714684,8/28/17 0:00,1.91,mg/l, ,Cowichan Rv.,2017,8,28, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19715,Cowichan River,O, , 
45,1,45,1,45,08HA011,48.773205,-123.714684,8/3/17 0:00,2.09,mg/l, ,Cowichan Rv.,2017,8,3, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19715,Cowichan River,O, , 
46,1,46,1,46,08HA011,48.773205,-123.714684,2/28/17 0:00,2.44,mg/l, ,Cowichan Rv.,2017,2,28, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19715,Cowichan River,O, , 
47,1,47,1,47,08HA011,48.773205,-123.714684,9/28/16 0:00,3.14,mg/l, ,Cowichan Rv.,2016,9,28, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19715,Cowichan River,O, , 
48,1,48,1,48,08HA011,48.773205,-123.714684,10/21/17 0:00,3.27,mg/l, ,Cowichan Rv.,2017,10,21, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19715,Cowichan River,O, , 
49,1,49,1,49,08HA011,48.773205,-123.714684,10/17/16 0:00,3.31,mg/l, ,Cowichan Rv.,2016,10,17, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19715,Cowichan River,O, , 
50,1,50,1,50,08HA011,48.773205,-123.714684,11/9/16 0:00,3.32,mg/l, ,Cowichan Rv.,2016,11,9, ,Organic Carbon,Dissolved,BC,VIU Hydromet, , , , , ,19715,Cowichan River,O, , 
