IP_ID,Name,Internatio,Juris_Code,Area_km2,PrctSnow,Eref_avg,Calculation Method,Yield_gm_1,Load_MgyP
30871,Columbia River,1,"BC,CUS",673174.2137,33.792672,752.714176,Large,0.95,632400
29442,Fraser River,1,"BC,CUS",232136.5642,44.446461,510.53352,Large,1.4055,326700
29443,Skeena River,0,BC,54403.34385,46.20318,424.170115,Large,2.1605,117500
29445,Stikine River,1,"AK,BC",50877.9125,64.618804,347.384641,Large,2.9456,144900
32636,Klamath River,0,CUS,40633.35914,11.275639,954.865334,Large,1.84,74600
29444,Nass River,0,BC,21482.44517,53.726855,395.57472,Large,2.5893,55600
59985,Taku River,1,"AK,BC",17529.79927,66.479087,335.211037,Large,1.0886,19000
30896,Rogue River,0,CUS,13375.85363,6.236456,954.458974,Large,1.61,21600
30889,Umpqua River,0,CUS,12144.80397,5.176704,924.71308,Large,1.27,15400
32637,Eel River,0,CUS,9535.800834,2.199814,1073.423472,Large,1.68,16000
30959,Skagit River,1,"BC,CUS",8275.137662,30.937226,589.966116,Loadest,5.082415,42057.68113
5270,Dean River,0,BC,7792.082705,53.293888,487.800632,NA,2.14431,16708.64279
261,Klinaklini River,0,BC,5879.881156,61.783735,448.286877,Compute,2.069415,12167.91335
241,Homathko River,0,BC,5781.825226,62.271221,417.027479,Loadest,2.079865,12025.4177
30879,Chehalis River,0,CUS,5480.959827,3.773024,793.591154,Loadest,2.058731,11283.82124
5259,Bella Coola River,0,BC,5340.312386,58.999996,452.510549,NA,2.069415,11051.32173
30932,Pilchuck River,0,CUS,4615.328673,15.804802,667.307181,Compute,4.23061,19525.65747
29699,Chilkat River,1,"AK,BC",3994.581968,67.546807,324.064242,NA,2.163024,8640.375632
5228,Wannock River,0,BC,3947.131322,44.754768,430.482313,Loadest,2.17182,8572.460433
183,Squamish River,0,BC,3863.576093,45.945694,456.250261,NA,2.1515,8312.48463
32650,Russian River,0,CUS,3845.990764,0.636218,1194.682256,Loadest,2.191718,8429.326163
5327,Tsaytis River,0,BC,3194.050042,46.156655,431.472634,NA,2.15472,6882.28312
30892,Coquille River,0,CUS,2737.624554,1.786145,872.163209,Compute,1.521149,4164.333867
30904,Puyallup River,0,CUS,2550.698022,23.255821,646.211969,Loadest,4.397855,11217.60009
30153,Unuk River,1,"AK,BC",2485.873141,63.222001,345.052609,Compute,2.096013,5210.421969
29977,Whiting River,1,"AK,BC",2353.786292,65.725443,311.257949,NA,2.143008,5044.182626
30882,Nehalem River,0,CUS,2213.572349,4.287054,778.725343,Loadest,2.054558,4547.911769
30951,Nooksack River,1,"BC,CUS",2166.796772,15.778755,653,Loadest,4.41708,9570.913943
5344,Kitimat River,0,BC,2021.968005,42.785593,431.871914,NA,2.219435,4487.626156
30888,Siuslaw River,0,CUS,2007.919956,1.917513,882.389766,Loadest,1.709432,3432.402861
30946,McAllister Creek,0,CUS,1994.031269,11.749251,737.295163,NA,2.173851,4334.727526
239,Southgate River,0,BC,1985.602133,63.134011,381.089888,Compute,2.079295,4128.652803
32652,Smith River,0,CUS,1863.587051,2.919246,952.942828,Loadest,1.352745,2520.957631
30969,Stillaguamish River,0,CUS,1818.761472,10.790814,680.284775,NA,3.978405,7235.768914
19757,Nimpkish River,0,BC,1762.879776,18.733621,551.035489,NA,7.033743,12399.64268
19741,Campbell River,0,BC,1759.225798,24.636945,560.952408,NA,6.436718,11323.64087
230,Toba River,0,BC,1748.081714,50.328364,438.086127,NA,2.140322,3741.457283
29803,Leduc River,1,"AK,BC",1690.080186,54.363916,375.668931,NA,2.151484,3636.180311
30890,Quillayute River,0,CUS,1620.079588,6.32577,666.748328,NA,4.869046,7888.242793
30903,Cedar River,0,CUS,1572.339173,7.019392,726.056782,Compute,2.206789,3469.820015
30891,Coos Bay,0,CUS,1557.098182,1.671598,843.050995,Compute,1.538313,2395.304147
30931,Tillamook Bay,0,CUS,1455.288582,4.119459,739.046939,Compute,2.030237,2954.58013
